,Name,Team,Nation_Ranking,League_Ranking,Age,MP,Goals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,Market_Value
200,Ross Barkley,Nice,5,1,29,15,3,3.24,0.14,33.4,78.0,16.5,2.94,50.0,0.15,2.79,3.38,0.44,0.59,1.76,0.74,0.74,39.6,0.44,5.74,16.7,1.0
201,Aymen Barkok,Mainz 05,4,3,24,11,0,2.35,0.0,25.6,69.0,13.5,1.47,62.5,0.29,1.47,3.24,0.29,1.47,4.41,0.59,1.18,27.6,0.88,7.35,61.1,1.0
202,Harvey Barnes,Leicester City,5,5,25,20,8,2.5,0.17,18.4,71.0,11.9,0.74,51.9,0.05,1.22,1.97,0.53,0.59,1.12,0.96,0.32,24.7,1.6,3.03,34.5,1.0
204,Ander Barrenetxea,Real Sociedad,5,4,21,7,1,0.95,0.5,24.3,76.1,14.3,1.9,66.7,0.0,0.48,0.48,0.0,1.43,3.81,1.43,0.95,20.0,0.48,9.52,30.8,1.0
205,Micka l Barreto,Ajaccio,5,1,32,7,0,1.05,0.0,31.3,71.3,13.4,4.47,47.2,0.26,4.74,3.16,0.26,1.58,3.95,1.58,0.0,38.7,0.0,5.79,33.3,1.0
208,Federico Baschirotto,Lecce,5,2,26,22,3,0.55,0.25,29.0,73.4,7.41,5.14,50.7,0.0,2.45,0.32,0.0,0.73,2.09,1.14,5.18,23.8,0.0,5.27,53.6,1.0
211,Alessandro Bastoni,Inter,5,2,23,17,0,0.71,0.0,58.3,83.5,20.1,8.16,63.5,0.14,5.18,2.41,0.28,0.85,2.98,0.99,1.99,47.3,0.14,4.82,71.8,1.0
212,Simone Bastoni,Spezia,5,2,26,13,2,1.9,0.1,26.8,59.9,13.5,3.05,35.6,0.19,2.29,2.48,0.19,1.71,4.19,1.52,0.86,25.7,0.19,6.76,57.9,1.0
213,Rodrigo Battaglia,Mallorca,5,4,31,13,0,0.27,0.0,23.7,80.1,11.4,1.51,55.0,0.0,3.15,0.55,0.0,0.68,2.33,2.05,2.47,17.3,0.0,3.97,55.6,1.0
214,Maximilian Bauer,Augsburg,5,3,23,15,0,0.69,0.0,25.4,71.4,8.62,3.53,37.6,0.0,1.9,0.95,0.09,0.86,3.02,0.95,3.88,22.1,0.0,5.6,61.4,1.0
217,Julian Baumgartlinger,Augsburg,3,3,35,7,0,0.97,0.0,33.9,80.8,12.3,3.23,76.9,0.0,3.23,1.29,0.0,0.65,2.58,0.65,3.55,27.4,0.0,5.16,41.7,1.0
218,Christoph Baumgartner,Hoffenheim,3,3,23,20,5,2.53,0.11,23.6,68.6,12.4,1.74,54.4,0.17,2.36,3.6,0.45,0.62,1.97,2.19,0.62,27.7,1.07,5.06,44.6,1.0
225,Rodrigo Bec o,Udinese,5,2,27,15,1,0.61,0.11,40.6,78.3,16.0,4.69,55.6,0.07,3.33,1.22,0.07,1.43,3.81,1.56,2.11,31.4,0.07,5.78,65.3,1.0
231,Donny van de Beek,Manchester Utd,5,5,25,7,0,1.05,0.0,24.2,75.4,16.3,0.53,50.0,0.0,0.0,3.16,0.0,0.0,0.53,1.05,0.53,20.5,0.0,1.58,50.0,1.0
234,Kevin Behrens,Union Berlin,5,3,32,20,4,1.43,0.33,18.0,60.6,10.4,0.83,63.6,0.12,1.9,2.5,0.48,0.36,0.95,1.07,1.55,18.6,0.24,2.98,53.3,1.0
235,Alexis Beka Beka,Nice,5,1,21,8,0,0.97,0.0,45.5,81.0,23.5,5.48,70.8,0.0,3.55,1.61,0.0,1.29,5.16,1.61,0.32,56.5,0.32,9.68,25.0,1.0
237,Youcef Bela li,Ajaccio,3,1,30,12,5,2.18,0.05,25.9,72.1,12.5,3.33,54.7,0.34,2.76,3.79,1.03,1.03,1.84,0.92,0.46,36.8,1.84,4.71,41.7,1.0
239,Haris Belkebla,Brest,3,1,29,22,1,0.42,0.14,36.1,83.7,14.9,3.8,67.7,0.0,3.98,1.69,0.06,1.69,4.4,1.14,0.72,39.0,0.18,6.81,44.8,1.0
240,Stefan Bell,Mainz 05,5,3,31,16,0,0.24,0.0,38.1,77.6,14.6,6.38,58.7,0.0,2.99,0.79,0.08,0.94,3.46,1.57,4.33,32.0,0.0,7.87,58.3,1.0
241,Armel Bella Kotchap,Southampton,5,5,21,13,0,0.88,0.0,30.2,75.4,10.4,3.42,43.8,0.09,1.58,0.79,0.09,0.61,4.04,1.58,5.18,28.7,0.18,7.11,63.2,1.0
242,Raoul Bellanova,Inter,5,2,22,10,0,1.11,0.0,47.8,74.8,26.1,4.44,57.1,0.0,1.11,2.22,0.0,1.11,4.44,1.11,2.78,47.2,0.0,3.89,100.0,1.0
244,Jean-Ricner Bellegarde,Strasbourg,5,1,24,19,1,1.19,0.05,37.6,75.3,16.1,4.35,48.7,0.28,3.73,3.56,0.4,0.96,2.94,0.85,0.96,44.2,0.4,6.38,38.9,1.0
246,Jude Bellingham,Dortmund,5,3,19,19,4,2.07,0.1,44.1,80.9,19.6,5.32,69.4,0.21,5.8,3.88,0.53,1.54,4.2,2.02,1.06,45.0,0.9,7.71,56.5,1.0
248,Andrea Belotti,Roma,5,2,29,18,0,1.78,0.0,15.1,68.0,8.0,0.89,80.0,0.0,0.67,2.22,0.0,0.67,1.56,0.89,0.44,18.7,1.11,2.44,25.0,1.0
249,Fran Beltr n,Celta Vigo,5,4,24,20,0,0.89,0.0,54.6,89.8,21.5,5.87,77.2,0.06,4.3,2.18,0.06,0.61,2.07,0.84,1.06,41.6,0.17,6.42,29.7,1.0
250,Eliesse Ben Seghir,Monaco,5,1,17,7,3,2.88,0.2,25.6,79.6,13.1,1.54,72.7,0.19,2.88,2.5,0.19,1.35,2.31,1.35,0.0,33.5,0.96,4.42,37.5,1.0
252,Wissam Ben Yedder,Monaco,5,1,32,19,14,2.46,0.32,20.7,76.3,12.1,0.71,45.0,0.24,1.59,2.46,0.56,0.32,0.87,0.87,0.0,27.7,1.43,2.62,34.8,1.0
255,Isma l Bennacer,Milan,3,2,25,19,1,0.45,0.14,55.2,86.2,23.8,7.64,67.4,0.06,5.8,4.39,0.13,1.53,4.2,0.76,0.64,42.7,0.19,9.55,51.5,1.0
256,Sa d Benrahma,West Ham,3,5,27,20,3,2.86,0.03,27.8,80.4,17.4,1.2,43.2,0.08,1.13,4.51,0.08,0.45,1.5,0.9,0.68,31.0,1.5,5.04,33.3,1.0
257,Ramy Bensebaini,M'Gladbach,3,3,27,18,5,1.4,0.16,40.3,76.5,19.9,3.63,50.8,0.0,2.79,1.28,0.11,1.01,2.74,1.56,3.74,31.6,0.5,5.87,65.2,1.0
258,Nabil Bentaleb,Angers,3,1,28,18,2,1.18,0.1,54.7,80.7,20.1,7.57,60.1,0.18,6.39,2.49,0.24,1.72,4.97,1.18,1.07,58.2,0.12,8.52,63.3,1.0
259,Rodrigo Bentancur,Tottenham,4,5,25,18,5,0.9,0.33,44.1,83.8,22.0,2.34,55.7,0.12,3.23,2.04,0.3,1.68,3.89,1.68,1.32,34.6,0.06,7.66,48.4,1.0
260,Karim Benzema,Real Madrid,5,4,35,12,9,4.05,0.13,40.8,85.4,27.8,1.29,75.0,0.26,2.5,4.66,0.26,0.34,0.6,0.69,0.17,36.0,1.29,1.98,50.0,1.0
261,Domenico Berardi,Sassuolo,5,2,28,13,4,4.31,0.05,29.5,67.9,13.2,4.41,57.0,0.29,1.76,4.51,0.39,0.98,2.16,0.29,0.88,36.4,0.88,4.41,31.3,1.0
262,Yuri Berchiche,Athletic Club,5,4,33,12,0,1.24,0.0,47.0,81.7,22.7,3.62,67.9,0.1,5.14,2.1,0.1,1.24,3.52,1.71,2.38,36.5,0.19,5.9,64.3,1.0
263, lex Berenguer,Athletic Club,5,4,27,20,3,1.97,0.1,24.1,68.1,15.6,2.37,46.8,0.07,1.05,2.96,0.13,1.45,2.5,1.18,0.33,27.5,1.32,4.47,50.0,1.0
266,Mitchell van Bergen,Reims,5,1,23,18,0,2.43,0.0,16.1,62.4,9.29,1.57,34.4,0.14,0.71,2.71,0.43,0.71,2.29,0.86,0.86,27.3,1.57,6.0,25.0,1.0
267,Mergim Berisha,Augsburg,5,3,24,14,6,2.91,0.11,9.53,45.8,4.17,1.26,33.3,0.31,1.34,2.44,0.47,0.24,0.55,0.79,1.26,15.4,0.63,2.76,39.7,1.0
268,Quentin Bernard,Auxerre,5,1,33,7,0,0.0,0.0,46.3,77.7,21.0,6.29,53.0,0.14,4.43,1.57,0.14,1.0,3.43,1.29,2.43,46.3,0.0,5.57,27.3,1.0
270,Juan Bernat,Paris S-G,5,1,29,17,1,0.45,0.2,53.1,92.8,33.5,1.09,75.0,0.18,1.82,2.0,0.27,1.0,2.45,0.64,1.0,49.0,0.73,5.09,50.0,1.0
275,Matteo Bianchetti,Cremonese,5,2,29,15,1,0.43,0.17,29.9,76.7,10.7,3.04,43.3,0.0,1.88,0.72,0.0,0.72,2.03,1.59,5.0,22.4,0.0,5.07,58.5,1.0
279,Pedro Bigas,Elche,5,4,32,17,0,0.85,0.0,37.4,79.7,13.9,4.58,49.2,0.0,3.45,0.63,0.14,0.85,3.17,0.99,3.94,32.7,0.0,6.06,69.6,1.0
280,Jaka Bijol,Udinese,1,2,24,17,2,0.65,0.2,34.8,84.0,8.44,4.55,63.1,0.0,1.36,0.45,0.06,0.65,2.01,1.49,6.3,27.5,0.06,4.68,60.8,1.0
281,El Bilal Tour ,Almer a,1,4,21,15,4,2.31,0.17,13.6,70.9,9.42,0.1,100.0,0.19,0.58,2.69,0.19,0.19,0.29,0.38,1.63,14.6,0.58,3.46,50.7,1.0
283,Philip Billing,Bournemouth,4,5,26,21,4,1.16,0.2,23.3,74.8,12.8,1.56,52.9,0.06,1.39,1.68,0.23,1.21,3.24,1.62,1.73,22.8,0.23,4.86,61.5,1.0
285,Cristiano Biraghi,Fiorentina,5,2,30,20,0,0.78,0.0,51.9,72.0,22.1,6.5,41.3,0.11,4.44,4.89,0.22,1.28,2.44,0.89,1.44,36.7,0.22,4.78,40.7,1.0
286,Samuele Birindelli,Monza,5,2,23,18,0,1.22,0.0,37.1,72.8,17.7,3.16,44.9,0.1,1.94,2.65,0.41,1.02,3.27,1.73,1.63,31.8,0.41,4.9,28.6,1.0
288,Tom Bischof,Hoffenheim,5,3,17,6,0,1.92,0.0,23.1,75.9,11.2,2.31,60.0,0.0,1.92,2.69,0.0,2.31,3.46,1.54,0.0,25.8,0.38,3.46,0.0,1.0
289,Yves Bissouma,Tottenham,1,5,26,20,0,0.56,0.0,57.1,90.0,29.6,2.78,75.8,0.0,4.44,2.78,0.11,1.11,2.33,1.33,0.78,41.2,0.0,6.56,50.0,1.0
291,Leonardo Bittencourt,Werder Bremen,5,3,29,14,2,1.35,0.15,29.2,71.1,15.8,1.35,33.3,0.0,2.08,2.08,0.1,1.25,3.13,0.63,0.42,33.4,0.31,6.56,16.7,1.0
296,Ludovic Blas,Nantes,5,1,25,22,4,3.3,0.03,29.7,79.7,11.7,4.7,65.4,0.05,3.03,4.27,0.22,1.14,2.32,0.76,0.32,39.8,0.97,5.57,33.3,1.0
300,Alexis Blin,Lecce,5,2,26,20,0,0.36,0.0,32.8,81.0,15.8,2.73,64.4,0.0,3.6,1.22,0.0,1.08,3.88,1.94,4.03,22.3,0.07,5.04,38.5,1.0
303,J r me Boateng,Lyon,5,1,34,6,0,0.0,0.0,36.6,79.0,8.29,4.86,51.5,0.0,2.0,0.57,0.0,0.0,2.0,1.14,4.29,36.3,0.0,2.57,87.5,1.0
304,Kevin-Prince Boateng,Hertha BSC,2,3,35,9,0,0.0,0.0,42.0,75.0,20.7,4.0,85.7,0.0,5.33,2.0,0.0,0.67,1.33,0.67,1.33,44.0,0.0,7.33,50.0,1.0
306,Jean-Paul Bo tius,Hertha BSC,5,3,28,14,0,0.6,0.0,25.7,72.4,11.0,2.89,55.8,0.0,2.89,2.17,0.0,1.45,3.37,1.81,0.96,23.9,0.0,6.51,22.2,1.0
307,Jeremie Boga,Atalanta,3,2,26,12,1,1.82,0.13,41.4,80.2,23.9,3.64,66.7,1.14,2.05,7.5,1.36,0.45,0.68,0.68,0.0,45.2,2.5,3.41,50.0,1.0
308,Emil Bohinen,Salernitana,2,2,23,10,0,0.53,0.0,41.1,87.2,24.2,1.84,63.6,0.0,3.16,1.84,0.0,2.11,5.79,2.11,1.32,31.3,0.0,8.68,25.0,1.0
310,Willy Boly,Nott'ham Forest,3,5,32,8,0,0.15,0.0,27.4,75.4,8.94,2.73,42.9,0.15,1.06,0.76,0.15,0.91,3.79,1.67,5.76,23.8,0.0,5.3,66.7,1.0
311,Giacomo Bonaventura,Fiorentina,5,2,33,18,3,2.36,0.09,36.4,83.0,18.7,2.64,62.9,0.0,2.57,3.18,0.27,1.28,2.77,0.61,0.27,34.9,0.41,6.89,42.9,1.0
312,Federico Bonazzoli,Salernitana,5,2,25,19,2,2.8,0.07,20.7,75.0,9.6,3.0,73.2,0.1,2.6,2.2,0.3,0.1,0.6,0.6,0.0,24.0,0.3,3.0,26.7,1.0
315,Kevin Bonifazi,Bologna,5,2,26,7,0,0.43,0.0,46.7,85.7,13.9,8.91,71.9,0.0,3.04,0.65,0.0,0.87,2.61,1.3,4.57,38.0,0.0,6.09,9.1,1.0
316,Leonardo Bonucci,Juventus,5,2,35,9,1,0.3,0.5,44.6,85.2,12.2,7.31,65.3,0.0,3.43,0.9,0.15,0.45,1.64,1.19,3.28,32.7,0.0,5.37,45.8,1.0
317,Neto Borges,Clermont Foot,5,1,26,20,2,0.84,0.13,36.2,77.3,17.9,1.84,55.6,0.0,1.89,2.58,0.0,1.58,4.11,1.32,2.11,37.3,0.21,5.47,62.5,1.0
319,Sebastiaan Bornauw,Wolfsburg,4,3,23,15,0,0.16,0.0,45.4,83.9,15.6,3.81,53.9,0.0,1.98,0.16,0.08,0.71,2.38,1.27,4.13,37.1,0.0,4.92,58.8,1.0
320,Rafael Borr ,Eint Frankfurt,4,3,27,18,2,2.0,0.09,26.0,73.7,15.1,1.64,52.9,0.36,1.64,2.73,0.55,1.82,2.91,0.73,0.73,30.2,0.73,5.09,30.8,1.0
321,Erik Botheim,Salernitana,2,2,23,15,1,1.08,0.25,14.6,63.5,7.57,0.54,66.7,0.27,1.08,2.43,0.27,0.81,1.08,0.27,0.27,15.9,0.0,2.97,45.8,1.0
322,Sven Botman,Newcastle Utd,5,5,23,20,0,0.59,0.0,44.2,85.8,13.2,5.99,71.8,0.0,2.09,0.75,0.05,0.75,2.25,1.44,3.58,34.0,0.11,4.81,66.1,1.0
326,Hicham Boudaoui,Nice,3,1,23,13,0,0.47,0.0,44.1,87.3,23.8,1.86,66.7,0.12,3.49,2.44,0.23,1.63,5.7,1.51,1.05,47.2,0.23,6.98,46.2,1.0
328,Sofiane Boufal,Angers,4,1,29,13,4,2.26,0.1,39.8,76.0,21.8,2.69,50.0,0.32,3.23,5.59,0.65,0.97,2.04,0.65,0.11,53.4,1.83,3.87,10.0,1.0
331,Isma lben Boura,Lens,5,1,22,9,0,2.0,0.0,47.0,73.4,27.0,1.0,20.0,0.0,2.0,2.0,0.0,4.0,8.0,2.0,3.0,58.0,1.0,9.0,33.3,1.0
332,Mehdi Bourabia,Spezia,4,2,31,22,0,0.76,0.0,33.6,76.2,16.6,2.49,49.5,0.11,3.57,2.54,0.32,0.76,3.03,1.35,1.73,26.6,0.16,7.68,44.0,1.0
333,Benjamin Bourigeaud,Rennes,5,1,29,21,3,1.69,0.06,43.3,73.6,17.9,5.34,52.9,0.26,4.87,5.24,0.58,0.74,1.75,1.27,0.85,50.9,0.11,5.24,16.7,1.0
334,Edoardo Bove,Roma,5,2,20,10,0,2.5,0.0,23.0,79.3,14.5,1.0,66.7,0.0,0.0,1.5,0.0,2.0,4.5,2.0,2.0,24.5,0.5,9.0,25.0,1.0
335,Jarrod Bowen,West Ham,5,5,26,22,4,2.01,0.07,16.2,64.5,8.81,1.69,36.6,0.05,1.32,2.97,0.32,0.46,2.05,1.19,0.59,20.6,1.32,3.97,28.8,1.0
336,Lucas Boy ,Elche,5,4,26,18,1,2.0,0.04,18.4,78.2,10.6,1.26,81.0,0.15,0.89,2.37,0.37,0.67,2.0,1.63,1.7,26.4,0.96,3.56,37.2,1.0
339,Bilal Brahimi,Nice,3,1,22,15,3,1.8,0.33,29.8,74.1,17.2,1.4,38.9,0.4,1.2,3.0,0.4,0.2,1.2,0.6,0.0,41.6,1.0,3.4,33.3,1.0
340,Martin Braithwaite,Espanyol,4,4,31,15,5,2.12,0.18,10.6,64.2,6.97,0.68,60.0,0.08,0.83,1.67,0.3,0.08,0.83,0.53,0.45,15.0,0.45,2.05,41.5,1.0
341,Juan Brand riz,Almer a,5,4,23,11,1,0.25,0.5,40.0,84.7,16.6,2.0,38.1,0.0,2.25,0.38,0.0,0.88,2.63,1.0,3.75,30.5,0.13,5.13,62.5,1.0
342,Julian Brandt,Dortmund,5,3,26,20,6,1.33,0.27,38.9,75.5,22.3,3.86,52.5,0.24,1.99,5.0,0.6,0.72,1.69,0.66,0.12,36.5,0.9,5.3,29.2,1.0
343,Darko Bra anac,Osasuna,2,4,31,18,1,0.72,0.17,27.1,81.2,14.1,1.08,64.3,0.12,3.25,1.57,0.12,1.45,3.25,1.33,0.6,22.4,0.0,3.98,50.0,1.0
344,Lilian Brassier,Brest,5,1,23,20,0,0.38,0.0,36.8,75.5,14.1,5.27,50.0,0.0,3.32,0.98,0.05,0.71,3.26,1.25,3.64,38.8,0.0,5.49,57.1,1.0
349,Josip Brekalo,Wolfsburg,4,3,24,6,0,0.67,0.0,34.3,69.6,19.0,3.67,55.0,0.33,3.33,2.33,0.33,0.33,1.33,0.0,0.67,35.3,0.67,4.67,0.0,1.0
350,Gleison Bremer,Juventus,5,2,25,18,1,0.97,0.06,51.8,89.5,17.3,5.94,70.3,0.0,1.03,0.86,0.0,0.69,2.57,1.77,4.23,38.4,0.0,5.94,58.0,1.0
352,Dylan Bronn,Salernitana,1,2,27,18,0,0.5,0.0,45.9,84.6,18.8,4.39,58.7,0.0,3.31,0.86,0.14,0.86,3.09,1.8,3.02,35.5,0.07,5.76,58.1,1.0
356,C dric Brunner,Schalke 04,3,3,28,17,0,0.38,0.0,30.3,66.2,11.6,3.29,37.7,0.0,1.9,1.33,0.06,1.27,3.48,1.01,3.16,24.4,0.13,5.25,41.8,1.0
358,Jacob Bruun Larsen,Hoffenheim,4,3,24,11,1,1.82,0.17,17.0,72.7,11.2,0.3,20.0,0.0,1.52,3.03,0.0,0.61,1.21,0.61,0.0,20.9,1.52,1.82,33.3,1.0
359,Andreas Bruus,Troyes,4,1,24,16,0,0.35,0.0,22.7,68.2,10.7,2.65,50.0,0.18,1.5,2.12,0.18,0.27,1.86,0.71,1.06,27.4,0.44,3.45,8.3,1.0
363,Lee Buchanan,Werder Bremen,5,3,21,13,1,1.33,0.25,32.3,68.3,13.0,5.67,48.6,0.0,3.67,1.33,0.0,2.0,4.67,1.0,3.33,33.0,0.0,5.67,62.5,1.0
364,Ante Budimir,Osasuna,4,4,31,16,2,2.92,0.07,8.85,55.6,6.15,0.0,0.0,0.0,0.42,1.88,0.1,0.31,1.15,0.52,1.15,12.3,0.42,1.98,49.5,1.0
365,Emi Buend a,Aston Villa,5,5,26,21,3,2.21,0.1,33.1,78.4,17.1,3.24,78.6,0.0,4.04,3.38,0.37,0.96,3.31,0.74,0.66,33.4,1.03,5.74,35.0,1.0
366,Hugo Bueno,Wolves,5,5,20,12,0,0.42,0.0,36.4,80.6,23.5,1.04,34.5,0.1,1.46,2.08,0.1,1.46,3.54,1.15,2.81,27.2,0.42,5.73,28.6,1.0
367,Santiago Bueno,Girona,4,4,24,20,0,0.55,0.0,50.6,86.8,16.6,6.08,66.5,0.05,4.57,0.75,0.1,1.06,2.96,0.9,2.51,41.7,0.0,4.52,63.0,1.0
369,Marius B lter,Schalke 04,5,3,29,20,3,1.99,0.03,16.9,60.3,10.1,1.14,38.8,0.0,1.63,3.19,0.12,0.3,1.2,0.96,0.6,23.0,0.84,4.34,42.4,1.0
370,Cristian Buonaiuto,Cremonese,5,2,30,16,0,4.14,0.0,29.0,62.9,15.2,1.9,24.4,0.0,2.59,5.86,0.17,1.03,3.79,1.38,0.52,35.2,0.69,7.41,20.0,1.0
372,Alessandro Buongiorno,Torino,5,2,23,18,0,0.83,0.0,37.6,82.3,15.9,1.53,48.0,0.0,2.29,0.76,0.06,0.76,3.69,1.21,3.12,28.5,0.06,5.73,72.6,1.0
373,Delano Burgzorg,Mainz 05,5,3,24,10,0,1.74,0.0,13.5,73.8,9.57,0.43,50.0,0.43,0.43,1.74,0.87,1.3,1.3,0.87,0.43,23.5,1.3,1.74,0.0,1.0
374,Jonathan Burkardt,Mainz 05,5,3,22,11,1,3.39,0.05,12.0,65.1,6.27,1.36,57.1,0.34,0.51,3.39,0.51,0.17,0.68,1.02,0.17,21.7,1.02,2.2,34.8,1.0
375,Oliver Burke,Werder Bremen,4,3,25,15,2,2.67,0.25,17.7,65.4,10.7,0.33,25.0,0.0,1.33,2.67,1.0,0.0,0.33,0.67,0.0,25.7,1.67,2.33,35.3,1.0
376,Dan Burn,Newcastle Utd,5,5,30,22,0,0.53,0.0,39.9,79.3,19.2,2.91,52.6,0.0,2.72,0.97,0.05,0.83,2.14,1.17,4.03,27.2,0.05,4.47,67.9,1.0
377,Maxime Busi,Reims,4,1,23,9,0,0.44,0.0,32.8,71.0,17.2,4.12,56.0,0.15,3.09,1.62,0.15,1.76,3.24,1.03,2.06,33.8,0.44,6.91,43.8,1.0
378,Sergio Busquets,Barcelona,5,4,34,18,0,0.28,0.0,64.5,89.3,29.3,6.83,83.2,0.07,7.86,2.41,0.14,1.31,3.72,1.31,1.45,45.0,0.0,6.83,53.6,1.0
381,Jamie Bynoe-Gittens,Dortmund,5,3,18,9,3,4.38,0.21,21.3,79.1,14.4,0.31,20.0,0.0,2.5,3.75,1.88,0.94,1.56,0.0,0.0,32.8,3.44,2.5,37.5,1.0
383,R my Cabella,Lille,5,1,32,16,4,1.58,0.19,53.0,80.9,29.8,3.01,52.6,0.45,5.86,6.84,0.6,1.65,3.16,2.18,0.38,59.4,1.2,5.86,15.4,1.0
384,Jimmy Cabot,Lens,5,1,28,11,0,0.88,0.0,45.8,75.4,21.6,5.61,47.1,0.18,3.33,5.44,0.18,2.11,4.21,0.88,2.11,49.5,1.4,8.77,50.0,1.0
385,Leandro Cabrera,Espanyol,4,4,31,19,0,0.77,0.0,32.0,71.6,9.23,5.46,47.2,0.0,2.79,1.04,0.05,0.55,2.57,1.26,4.15,25.7,0.05,4.86,62.2,1.0
387,Anthony Caci,Mainz 05,5,3,25,17,1,0.51,0.17,38.9,73.7,12.0,7.97,59.9,0.08,4.92,2.46,0.25,1.44,5.51,0.76,2.29,33.2,0.08,7.29,32.4,1.0
389,Mois s Caicedo,Brighton,3,5,21,20,1,0.73,0.07,54.1,88.2,28.5,4.17,84.2,0.05,4.69,2.24,0.16,1.46,4.58,0.94,0.99,41.9,0.21,6.67,63.9,1.0
390,Tom Cairney,Fulham,4,5,32,22,0,2.12,0.0,65.8,85.5,33.7,6.73,72.9,0.0,7.12,5.0,0.19,0.77,2.88,1.54,0.38,57.7,1.15,7.12,50.0,1.0
391,Jens Cajuste,Reims,2,1,23,16,1,1.37,0.08,36.0,81.0,15.9,4.0,70.4,0.11,4.0,2.95,0.21,1.79,5.05,2.11,1.58,42.1,0.21,7.16,42.1,1.0
393,Davide Calabria,Milan,5,2,26,14,1,0.63,0.14,52.8,79.9,22.4,5.32,45.4,0.18,3.24,1.62,0.27,2.34,6.04,1.26,1.8,38.5,0.09,6.13,41.7,1.0
394,Mattia Caldara,Spezia,5,2,28,14,0,0.74,0.0,32.7,77.1,13.2,3.06,50.8,0.0,1.39,0.46,0.09,1.02,3.06,1.39,5.93,26.8,0.0,6.57,56.8,1.0
395,Luca Caldirola,Monza,5,2,32,17,0,0.34,0.0,50.1,87.9,20.5,4.52,65.3,0.0,2.4,0.55,0.07,0.48,1.92,1.03,2.26,37.9,0.0,3.84,60.5,1.0
396,Fernando Calero,Espanyol,5,4,27,17,0,0.31,0.0,33.4,80.2,12.0,4.81,58.9,0.0,3.44,0.84,0.0,1.45,3.28,1.83,3.05,23.9,0.08,5.04,60.0,1.0
399,Hakan  alhano lu,Inter,3,2,29,20,2,1.65,0.04,48.5,83.4,21.5,5.76,62.4,0.29,5.18,4.35,0.47,1.12,3.18,1.29,0.47,38.9,0.12,7.47,47.8,1.0
401,Daniel Caligiuri,Augsburg,5,3,35,11,1,1.72,0.2,29.3,64.9,12.8,3.45,41.7,0.0,2.76,2.41,0.34,1.72,3.79,0.69,0.69,24.1,0.34,8.97,28.6,1.0
403,Dominic Calvert-Lewin,Everton,5,5,25,11,1,1.98,0.06,10.6,61.9,6.54,0.37,60.0,0.0,0.99,1.6,0.25,0.12,0.49,0.25,0.62,14.2,0.99,2.1,46.1,1.0
404,Mahdi Camara,Brest,5,1,24,17,0,1.02,0.0,27.5,83.0,13.5,1.02,68.4,0.0,2.66,1.72,0.0,1.72,4.77,2.11,0.78,29.8,0.08,5.47,43.8,1.0
406,Mohamed Camara,Monaco,1,1,23,18,0,1.04,0.0,46.6,87.5,18.7,6.49,76.9,0.13,5.19,1.95,0.45,2.08,4.74,2.14,0.65,50.8,0.0,7.14,78.6,1.0
409,Eduardo Camavinga,Real Madrid,5,4,20,20,0,1.18,0.0,57.0,90.8,29.1,3.82,79.6,0.1,6.76,4.51,0.29,2.06,3.82,1.27,1.27,51.4,0.39,6.18,56.3,1.0
410,Nicol  Cambiaghi,Empoli,5,2,22,16,2,2.93,0.12,26.2,75.6,16.0,1.72,76.9,0.17,1.72,4.31,0.69,1.9,3.28,1.55,0.86,35.0,1.72,4.66,20.0,1.0
411,Andrea Cambiaso,Bologna,5,2,22,19,0,0.55,0.0,42.9,78.8,24.3,2.34,41.1,0.16,2.03,2.19,0.39,1.41,3.98,1.09,1.48,36.6,0.63,6.8,21.4,1.0
412,Axel Camblan,Brest,5,1,19,7,0,1.25,0.0,23.8,70.4,16.3,0.0,0.0,0.0,0.0,3.75,0.0,2.5,2.5,0.0,0.0,35.0,1.25,6.25,70.0,1.0
413,Sergio Camello,Rayo Vallecano,5,4,22,20,5,2.58,0.12,13.6,80.7,7.48,0.63,71.4,0.19,0.25,2.08,0.25,0.44,0.69,0.31,0.94,16.5,0.63,2.14,40.0,1.0
415,Emre Can,Dortmund,5,3,29,14,0,0.62,0.0,55.4,89.1,22.0,5.56,71.4,0.0,4.44,1.36,0.0,1.98,4.57,0.86,2.22,44.3,0.12,8.02,62.5,1.0
416,Sergio Canales,Betis,5,4,31,18,3,1.54,0.12,41.0,74.9,22.2,3.64,49.2,0.06,4.14,3.95,0.25,0.62,1.67,0.74,0.43,39.4,0.31,4.75,45.0,1.0
417,Matteo Cancellieri,Lazio,5,2,21,14,0,1.74,0.0,23.9,73.3,17.0,0.0,0.0,0.0,0.43,2.17,0.0,1.3,3.48,1.3,0.87,29.6,3.04,5.65,80.0,1.0
418,Jo o Cancelo,Manchester City,5,5,28,17,2,1.2,0.12,73.0,84.9,40.7,5.7,65.9,0.07,5.63,2.75,0.42,1.48,3.38,0.49,0.63,58.9,1.48,5.63,71.1,1.0
420,Antonio Candreva,Salernitana,5,2,35,20,2,1.28,0.09,40.4,72.1,20.0,4.36,42.6,0.06,4.02,2.85,0.28,0.11,1.34,0.28,1.4,35.8,0.22,4.53,0.0,1.0
